,Unnamed: 0.1,Unnamed: 0,manuscript_title,team,doi_pre,doi_pub,original_research,OpenAlex_ID,ListofAlexIds,ListofNames,ListofOrcids,Role,Team,FirstLastName,ReferencedWorks,NumReferencedWorks,NumInternalReferences,CitedByCount,CitedByInternal,CleanedTeam,TeamsThatCited,ReferencedTeams,IntReferences,ReferencedIndividuals,CleanedTeams,CleanedPeople,DateCreated
374,2737,2737.0,Structural pathway for class III PI 3-kinase activation by the myristoylated GTP-binding pseudokinase VPS15 | bioRxiv,Hurley,10.1101/2023.09.28.559894,,1.0,W4387184698,A5061450716,James H. Hurley,0000-0001-5054-5445,Lead PI,Team Hurley,James Hurley,"['W1031578623', 'W1614056212', 'W1850687781', 'W1923816168', 'W1973572007', 'W1973638222', 'W1983657784', 'W1983831622', 'W1995674288', 'W1999211990', 'W2013131355', 'W2035687084', 'W2041579839', 'W2057477511', 'W2064371632', 'W2064381459', 'W2066523881', 'W2081693079', 'W2105012660', 'W2123777737', 'W2124140485', 'W2154993563', 'W2161180362', 'W2206954826', 'W2214645750', 'W2327174080', 'W2330799739', 'W2555870966', 'W2560000662', 'W2587625522', 'W2593511418', 'W2615994102', 'W2738289776', 'W2801376357', 'W2900435357', 'W2905781294', 'W2918927399', 'W2959411532', 'W2980168206', 'W3083406432', 'W3093295276', 'W3097808824', 'W3135116035', 'W3157329740', 'W3177828909', 'W3197665808', 'W3198853168', 'W4246043393', 'W4281790889', 'W4307038228', 'W4376272271', 'W4379145226']",52,2,,,,,"['Team Alessi', 'Team Hurley']","['W4376272271', 'W4379145226']","['Miratul Muqit', 'James Hurley']",['Team Hurley'],['James Hurley'],2023-09-30
375,2739,2739.0,Mitochondrial damage triggers concerted degradation of negative regulators of neuronal autophagy,Hurley,10.1101/2024.06.12.598718,,1.0,W4399602719,A5075390520,Erika L.F. Holzbaur,0000-0001-5389-4114,Co-PI,Team Hurley,Erika Holzbaur,"['W1104977322', 'W1525061031', 'W1832030339', 'W1969980514', 'W1970650626', 'W1983831622', 'W1996625702', 'W1999211990', 'W2014459126', 'W2026525843', 'W2043291430', 'W2048813950', 'W2049016912', 'W2051362437', 'W2052889619', 'W2053282493', 'W2054556550', 'W2064381459', 'W2077757969', 'W2080421381', 'W2086557228', 'W2089180401', 'W2103230459', 'W2103545941', 'W2106444069', 'W2108326484', 'W2115742671', 'W2123343610', 'W2130979925', 'W2137686667', 'W2138311396', 'W2138756302', 'W2149200223', 'W2152165298', 'W2153760714', 'W2154993563', 'W2155015733', 'W2155175976', 'W2156054547', 'W2167867141', 'W2171213306', 'W2340446708', 'W239648239', 'W2411236419', 'W2414800819', 'W2485613725', 'W2564354781', 'W2584159992', 'W2585432400', 'W2605879300', 'W2759396830', 'W2765661779', 'W2782677553', 'W2790286431', 'W2796110207', 'W2796906206', 'W2800197308', 'W2838051652', 'W2896514867', 'W2905781294', 'W2907315139', 'W2911248861', 'W2913820475', 'W2943684516', 'W2955082803', 'W2963539474', 'W2972937106', 'W2981390837', 'W2999098705', 'W2999206621', 'W3011802680', 'W3038568296', 'W3103775593', 'W3119537527', 'W3127283034', 'W3156864965', 'W3160904066', 'W3209929601', 'W3213349298', 'W4205256619', 'W4224243709', 'W4280566681', 'W4283822279', 'W4293793216', 'W4311502524', 'W4318170657', 'W4385498418', 'W4386496532', 'W4387012427', 'W4396811660']",90,5,,,,,"['Team Hurley', 'Team Alessi']","['W3156864965', 'W3209929601', 'W3213349298', 'W4386496532', 'W4396811660']","['Erika Holzbaur', 'Miratul Muqit', 'James Hurley']",['Team Hurley'],['Erika Holzbaur'],2024-06-14
376,2750,2750.0,Reconstitution of BNIP3/NIX-mediated autophagy reveals two pathways and hierarchical flexibility of the initiation machinery,Hurley,10.1101/2024.08.28.609967,,1.0,W4401944929,A5061877082,Michael Lazarou,0000-0003-2150-5545,Co-PI,Team Hurley,Michael Lazarou,"['W1031578623', 'W1748247921', 'W1828478896', 'W1966995952', 'W1968843321', 'W1969126370', 'W1972256163', 'W1986656413', 'W1989165480', 'W1992538476', 'W2003236418', 'W2011301426', 'W2018302034', 'W2029667189', 'W2035266068', 'W2035687084', 'W2043983867', 'W2045874835', 'W2046797733', 'W2047242847', 'W2050113854', 'W2057477511', 'W2061939373', 'W2064388657', 'W2068700852', 'W2077160150', 'W2081693079', 'W2099540110', 'W2103230459', 'W2127440157', 'W2138795497', 'W2146122852', 'W2158535498', 'W2164945122', 'W2170711116', 'W2171520517', 'W2173960148', 'W2323582440', 'W2538297977', 'W2604819250', 'W2607310450', 'W2625879429', 'W2731998311', 'W2734356283', 'W2773814520', 'W2778591996', 'W2784022040', 'W2800697076', 'W2899760200', 'W2911124373', 'W2912641855', 'W2915164054', 'W2918672868', 'W2921015958', 'W2922182434', 'W2940118858', 'W2940394744', 'W3016185846', 'W3021113195', 'W3026901962', 'W3036585903', 'W3043316508', 'W3048971336', 'W3083406432', 'W3099878876', 'W3106278194', 'W3150790972', 'W3151729027', 'W3157329740', 'W3176556289', 'W3177828909', 'W3192382699', 'W3196608509', 'W3197867551', 'W3202105508', 'W4220684596', 'W4246043393', 'W4304141608', 'W4307366279', 'W4311409441', 'W4311441084', 'W4312094513', 'W4315700867', 'W4322726840', 'W4377047698', 'W4386152863', 'W4386757192', 'W4386757254', 'W4387095425', 'W4387164156', 'W4387600734', 'W4390227162', 'W4396721167', 'W4400007735', 'W4400539888', 'W4400539889', 'W4401645773', 'W853095808']",98,8,,,,,"['Team Hurley', 'Team Harper']","['W3196608509', 'W4220684596', 'W4311441084', 'W4312094513', 'W4377047698', 'W4386757254', 'W4387095425', 'W4400007735']","['James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou']",['Team Hurley'],"['Michael Lazarou', 'James Hurley', 'Sascha Martens']",2024-08-29
377,2752,2752.0,Reconstitution of BNIP3/NIX-mediated autophagy reveals two pathways and hierarchical flexibility of the initiation machinery,Hurley,10.1101/2024.08.28.609967,,1.0,W4401944929,A5061450716,James H. Hurley,0000-0001-5054-5445,Lead PI,Team Hurley,James Hurley,"['W1031578623', 'W1748247921', 'W1828478896', 'W1966995952', 'W1968843321', 'W1969126370', 'W1972256163', 'W1986656413', 'W1989165480', 'W1992538476', 'W2003236418', 'W2011301426', 'W2018302034', 'W2029667189', 'W2035266068', 'W2035687084', 'W2043983867', 'W2045874835', 'W2046797733', 'W2047242847', 'W2050113854', 'W2057477511', 'W2061939373', 'W2064388657', 'W2068700852', 'W2077160150', 'W2081693079', 'W2099540110', 'W2103230459', 'W2127440157', 'W2138795497', 'W2146122852', 'W2158535498', 'W2164945122', 'W2170711116', 'W2171520517', 'W2173960148', 'W2323582440', 'W2538297977', 'W2604819250', 'W2607310450', 'W2625879429', 'W2731998311', 'W2734356283', 'W2773814520', 'W2778591996', 'W2784022040', 'W2800697076', 'W2899760200', 'W2911124373', 'W2912641855', 'W2915164054', 'W2918672868', 'W2921015958', 'W2922182434', 'W2940118858', 'W2940394744', 'W3016185846', 'W3021113195', 'W3026901962', 'W3036585903', 'W3043316508', 'W3048971336', 'W3083406432', 'W3099878876', 'W3106278194', 'W3150790972', 'W3151729027', 'W3157329740', 'W3176556289', 'W3177828909', 'W3192382699', 'W3196608509', 'W3197867551', 'W3202105508', 'W4220684596', 'W4246043393', 'W4304141608', 'W4307366279', 'W4311409441', 'W4311441084', 'W4312094513', 'W4315700867', 'W4322726840', 'W4377047698', 'W4386152863', 'W4386757192', 'W4386757254', 'W4387095425', 'W4387164156', 'W4387600734', 'W4390227162', 'W4396721167', 'W4400007735', 'W4400539888', 'W4400539889', 'W4401645773', 'W853095808']",98,8,,,,,"['Team Hurley', 'Team Harper']","['W3196608509', 'W4220684596', 'W4311441084', 'W4312094513', 'W4377047698', 'W4386757254', 'W4387095425', 'W4400007735']","['James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou']",['Team Hurley'],"['Michael Lazarou', 'James Hurley', 'Sascha Martens']",2024-08-29
378,2753,2753.0,Reconstitution of BNIP3/NIX-mediated autophagy reveals two pathways and hierarchical flexibility of the initiation machinery,Hurley,10.1101/2024.08.28.609967,,1.0,W4401944929,A5029002091,Sascha Martens,0000-0003-3786-8199,Co-PI,Team Hurley,Sascha Martens,"['W1031578623', 'W1748247921', 'W1828478896', 'W1966995952', 'W1968843321', 'W1969126370', 'W1972256163', 'W1986656413', 'W1989165480', 'W1992538476', 'W2003236418', 'W2011301426', 'W2018302034', 'W2029667189', 'W2035266068', 'W2035687084', 'W2043983867', 'W2045874835', 'W2046797733', 'W2047242847', 'W2050113854', 'W2057477511', 'W2061939373', 'W2064388657', 'W2068700852', 'W2077160150', 'W2081693079', 'W2099540110', 'W2103230459', 'W2127440157', 'W2138795497', 'W2146122852', 'W2158535498', 'W2164945122', 'W2170711116', 'W2171520517', 'W2173960148', 'W2323582440', 'W2538297977', 'W2604819250', 'W2607310450', 'W2625879429', 'W2731998311', 'W2734356283', 'W2773814520', 'W2778591996', 'W2784022040', 'W2800697076', 'W2899760200', 'W2911124373', 'W2912641855', 'W2915164054', 'W2918672868', 'W2921015958', 'W2922182434', 'W2940118858', 'W2940394744', 'W3016185846', 'W3021113195', 'W3026901962', 'W3036585903', 'W3043316508', 'W3048971336', 'W3083406432', 'W3099878876', 'W3106278194', 'W3150790972', 'W3151729027', 'W3157329740', 'W3176556289', 'W3177828909', 'W3192382699', 'W3196608509', 'W3197867551', 'W3202105508', 'W4220684596', 'W4246043393', 'W4304141608', 'W4307366279', 'W4311409441', 'W4311441084', 'W4312094513', 'W4315700867', 'W4322726840', 'W4377047698', 'W4386152863', 'W4386757192', 'W4386757254', 'W4387095425', 'W4387164156', 'W4387600734', 'W4390227162', 'W4396721167', 'W4400007735', 'W4400539888', 'W4400539889', 'W4401645773', 'W853095808']",98,8,,,,,"['Team Hurley', 'Team Harper']","['W3196608509', 'W4220684596', 'W4311441084', 'W4312094513', 'W4377047698', 'W4386757254', 'W4387095425', 'W4400007735']","['James Hurley', 'J. Harper', 'Sascha Martens', 'Michael Lazarou']",['Team Hurley'],"['Michael Lazarou', 'James Hurley', 'Sascha Martens']",2024-08-29
379,2769,2769.0,Presynapses are mitophagy pit stops that prevent axon degeneration,Hurley,10.1101/2024.09.09.611943,,1.0,W4402420172,A5061877082,Michael Lazarou,0000-0003-2150-5545,Co-PI,Team Hurley,Michael Lazarou,"['W151377110', 'W1522246453', 'W1770535374', 'W1877873625', 'W1884727057', 'W1912063668', 'W1974808515', 'W1978793506', 'W1987976744', 'W1989630258', 'W1992264711', 'W1996764498', 'W2003418092', 'W2011931872', 'W2014444260', 'W2015879727', 'W2018348810', 'W2026694952', 'W2028107828', 'W2032186831', 'W2040031153', 'W2044171033', 'W2045563337', 'W2047242847', 'W2048870844', 'W2052889619', 'W2065060908', 'W2068700852', 'W2070049573', 'W2078527512', 'W2087592289', 'W2102313940', 'W2103230459', 'W2104431345', 'W2107708548', 'W2112546324', 'W2114847797', 'W2122028337', 'W2129698492', 'W2130866079', 'W2137686667', 'W2144450295', 'W2144625075', 'W2149090315', 'W2150469601', 'W2151950127', 'W2157999078', 'W2158535498', 'W2165741741', 'W2167279371', 'W2167867141', 'W2169640408', 'W2224354397', 'W2601810315', 'W2605825818', 'W2702089277', 'W2760524820', 'W2785845074', 'W2788480107', 'W2795845448', 'W2796906206', 'W2803819386', 'W2825246722', 'W2883721603', 'W2891731267', 'W2892820035', 'W2911248861', 'W2923461283', 'W2935116054', 'W2967789674', 'W2972659590', 'W2999206621', 'W3009966546', 'W3011835552', 'W3018223285', 'W3021113195', 'W3081693490', 'W3093507769', 'W3096857713', 'W3137112841', 'W3145691692', 'W3158880539', 'W3202373309', 'W3208596612', 'W3210858409', 'W4212792509', 'W4220988819', 'W4225594780', 'W4225632556', 'W4301373231', 'W4308434550', 'W4318408322', 'W4323812485', 'W4367174364', 'W4376121421', 'W4377047698', 'W4385718421', 'W4385851645', 'W4386152863', 'W4386757254', 'W4388638467', 'W4390227162', 'W4396780205', 'W4400984660']",104,5,,,,,"['Team Harper', 'Team De Camilli', 'Team Hurley']","['W3202373309', 'W4220988819', 'W4301373231', 'W4377047698', 'W4386757254']","['J. Harper', 'Pietro Camilli', 'Erika Holzbaur', 'Michael Lazarou']",['Team Hurley'],['Michael Lazarou'],2024-09-11
380,2788,2788.0,LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification | Science Advances,Jakobsson,10.1101/2023.03.04.531072,10.1126/sciadv.adh9543,1.0,W4388173917,A5032075946,Molly Hammell,0000-0003-0405-8392,Co-PI,Team Jakobsson,Molly Hammell,"['W1528634627', 'W1689369637', 'W1912672559', 'W1964184380', 'W1974047233', 'W1981369048', 'W1986319478', 'W2006519535', 'W2007589425', 'W2010994321', 'W2014677321', 'W2018286352', 'W2021341670', 'W2027594237', 'W2029868997', 'W2037930474', 'W2047285578', 'W2051541780', 'W2055705164', 'W2062098224', 'W2064802388', 'W2075224242', 'W2076529210', 'W2082019169', 'W2091279754', 'W2096652998', 'W2101731216', 'W2102619694', 'W2104005232', 'W2106021702', 'W2107277218', 'W2108234281', 'W2114924552', 'W2115759508', 'W2119742125', 'W2123490990', 'W2136863044', 'W2138207763', 'W2151097873', 'W2152294954', 'W2158789637', 'W2158882685', 'W2163065744', 'W2168909179', 'W2169456326', 'W2170551349', 'W2179438025', 'W2302864647', 'W2516620605', 'W2519643400', 'W2556763090', 'W2562443513', 'W2735004254', 'W2737372261', 'W2738082385', 'W2751773317', 'W2766437506', 'W2789843538', 'W2800979286', 'W2807521829', 'W2911642321', 'W2912535827', 'W2922281162', 'W2949177718', 'W2950493549', 'W2951506174', 'W2951825576', 'W2960183779', 'W2977382078', 'W2980995354', 'W2995628151', 'W2998606882', 'W3004660847', 'W3031048909', 'W3036325257', 'W3036354173', 'W3135617942', 'W3139109607', 'W3202739595', 'W4225409101', 'W4237165615', 'W4295037671', 'W4304808755', 'W4307357615', 'W4323565938']",85,0,30.0,0.0,['Team Jakobsson'],[],[],[],[],['Team Jakobsson'],"['Molly Hammell', 'Roger Barker', 'Johan Jakobsson']",2023-11-02
381,2789,2789.0,LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification | Science Advances,Jakobsson,10.1101/2023.03.04.531072,10.1126/sciadv.adh9543,1.0,W4388173917,A5084748006,Roger A. Barker,0000-0001-8843-7730,Co-PI,Team Jakobsson,Roger Barker,"['W1528634627', 'W1689369637', 'W1912672559', 'W1964184380', 'W1974047233', 'W1981369048', 'W1986319478', 'W2006519535', 'W2007589425', 'W2010994321', 'W2014677321', 'W2018286352', 'W2021341670', 'W2027594237', 'W2029868997', 'W2037930474', 'W2047285578', 'W2051541780', 'W2055705164', 'W2062098224', 'W2064802388', 'W2075224242', 'W2076529210', 'W2082019169', 'W2091279754', 'W2096652998', 'W2101731216', 'W2102619694', 'W2104005232', 'W2106021702', 'W2107277218', 'W2108234281', 'W2114924552', 'W2115759508', 'W2119742125', 'W2123490990', 'W2136863044', 'W2138207763', 'W2151097873', 'W2152294954', 'W2158789637', 'W2158882685', 'W2163065744', 'W2168909179', 'W2169456326', 'W2170551349', 'W2179438025', 'W2302864647', 'W2516620605', 'W2519643400', 'W2556763090', 'W2562443513', 'W2735004254', 'W2737372261', 'W2738082385', 'W2751773317', 'W2766437506', 'W2789843538', 'W2800979286', 'W2807521829', 'W2911642321', 'W2912535827', 'W2922281162', 'W2949177718', 'W2950493549', 'W2951506174', 'W2951825576', 'W2960183779', 'W2977382078', 'W2980995354', 'W2995628151', 'W2998606882', 'W3004660847', 'W3031048909', 'W3036325257', 'W3036354173', 'W3135617942', 'W3139109607', 'W3202739595', 'W4225409101', 'W4237165615', 'W4295037671', 'W4304808755', 'W4307357615', 'W4323565938']",85,0,30.0,0.0,['Team Jakobsson'],[],[],[],[],['Team Jakobsson'],"['Molly Hammell', 'Roger Barker', 'Johan Jakobsson']",2023-11-02
382,2792,2792.0,LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification | Science Advances,Jakobsson,10.1101/2023.03.04.531072,10.1126/sciadv.adh9543,1.0,W4388173917,A5021760406,Johan Jakobsson,0000-0003-0669-7673,Lead PI,Team Jakobsson,Johan Jakobsson,"['W1528634627', 'W1689369637', 'W1912672559', 'W1964184380', 'W1974047233', 'W1981369048', 'W1986319478', 'W2006519535', 'W2007589425', 'W2010994321', 'W2014677321', 'W2018286352', 'W2021341670', 'W2027594237', 'W2029868997', 'W2037930474', 'W2047285578', 'W2051541780', 'W2055705164', 'W2062098224', 'W2064802388', 'W2075224242', 'W2076529210', 'W2082019169', 'W2091279754', 'W2096652998', 'W2101731216', 'W2102619694', 'W2104005232', 'W2106021702', 'W2107277218', 'W2108234281', 'W2114924552', 'W2115759508', 'W2119742125', 'W2123490990', 'W2136863044', 'W2138207763', 'W2151097873', 'W2152294954', 'W2158789637', 'W2158882685', 'W2163065744', 'W2168909179', 'W2169456326', 'W2170551349', 'W2179438025', 'W2302864647', 'W2516620605', 'W2519643400', 'W2556763090', 'W2562443513', 'W2735004254', 'W2737372261', 'W2738082385', 'W2751773317', 'W2766437506', 'W2789843538', 'W2800979286', 'W2807521829', 'W2911642321', 'W2912535827', 'W2922281162', 'W2949177718', 'W2950493549', 'W2951506174', 'W2951825576', 'W2960183779', 'W2977382078', 'W2980995354', 'W2995628151', 'W2998606882', 'W3004660847', 'W3031048909', 'W3036325257', 'W3036354173', 'W3135617942', 'W3139109607', 'W3202739595', 'W4225409101', 'W4237165615', 'W4295037671', 'W4304808755', 'W4307357615', 'W4323565938']",85,0,30.0,0.0,['Team Jakobsson'],[],[],[],[],['Team Jakobsson'],"['Molly Hammell', 'Roger Barker', 'Johan Jakobsson']",2023-11-02
383,2796,2796.0,State-of-the-art review of the clinical research on menopause and hormone replacement therapy association with Parkinson’s disease: What meta-analysis studies cannot tell us,Kaplitt,NA Review,10.3389/fnagi.2022.971007,0.0,W4306943613,A5000487408,Roberta Marongiu,0000-0002-7609-7000,Co-PI,Team Kaplitt,Roberta Marongiu,"['W1593442063', 'W1598956028', 'W160686759', 'W1827097019', 'W1905932321', 'W1907508211', 'W1913092771', 'W1937161249', 'W1964510578', 'W1968489938', 'W1968507832', 'W1975432554', 'W1975941800', 'W1977827405', 'W1980770261', 'W1985681015', 'W1988082908', 'W1993241967', 'W1998101301', 'W2005907346', 'W2015204251', 'W2018651845', 'W2023310799', 'W2023482999', 'W2025205776', 'W2032535371', 'W2033616185', 'W2035320045', 'W2043720361', 'W2046242737', 'W2046804851', 'W2048182526', 'W2055739274', 'W2055996469', 'W2061631450', 'W2064516418', 'W2067361102', 'W2068120156', 'W2069557943', 'W2073057626', 'W2079000436', 'W2079699099', 'W2079869622', 'W2100245061', 'W2101345641', 'W2110116881', 'W2118151550', 'W2120387391', 'W2121717656', 'W2130919803', 'W2135178328', 'W2140038023', 'W2148279282', 'W2157944658', 'W2260421148', 'W2331786179', 'W2339791932', 'W2403312706', 'W2403424502', 'W2406529183', 'W2472639838', 'W2526437986', 'W2568890276', 'W2586901051', 'W2726664083', 'W2732909359', 'W2738318382', 'W2746479778', 'W2754967293', 'W2758095848', 'W2760136389', 'W2761876527', 'W2769122638', 'W2792837465', 'W2797336411', 'W2800751256', 'W2811255424', 'W2901519529', 'W2953791151', 'W2969771306', 'W2992080594', 'W2997556389', 'W2998570565', 'W3006012411', 'W3032934861', 'W3047885384', 'W3091308829', 'W3119319657', 'W3130721539', 'W3139504742', 'W3162100029', 'W3193514258', 'W4206258770', 'W4211044101', 'W4221080371', 'W4225811371', 'W4295990640', 'W817042229']",98,0,9.0,0.0,['Team Kaplitt'],[],[],[],[],['Team Kaplitt'],['Roberta Marongiu'],2022-10-21
384,2799,2799.0,Cognitive dysfunction in animal models of human lewy-body dementia,Kaplitt,,10.3389/fnagi.2024.1369733,0.0,W4400896439,A5027250646,Michael G. Kaplitt,0000-0002-8979-2459,Lead-PI,Team Kaplitt,Michael Kaplitt,"['W1499808079', 'W1530469809', 'W1587341957', 'W1842551286', 'W1965095016', 'W1969895941', 'W1971579987', 'W1972359555', 'W1977125629', 'W1980732041', 'W1981968371', 'W1983103814', 'W1988173316', 'W1995412542', 'W1995485240', 'W1996194036', 'W1999191328', 'W2000629464', 'W2000750267', 'W2001958111', 'W2006412287', 'W2010076518', 'W2012122478', 'W2016109926', 'W2016711503', 'W2020476996', 'W2022163854', 'W2022936204', 'W2023795314', 'W2024583467', 'W2026376363', 'W2027848153', 'W2029164422', 'W2029315819', 'W2033638298', 'W2034046047', 'W2036148138', 'W2040042139', 'W2042771931', 'W2044384631', 'W2049683569', 'W2050028249', 'W2054868321', 'W2056765716', 'W2058474765', 'W2062029914', 'W2063785968', 'W2064963539', 'W2065060908', 'W2068845291', 'W2073356664', 'W2073449985', 'W2081345376', 'W2081619699', 'W2081968259', 'W2082492977', 'W2087598124', 'W2092791231', 'W2093613378', 'W2094558488', 'W2098389807', 'W2099549655', 'W2102572922', 'W2104961138', 'W2106430881', 'W2107172544', 'W2108865709', 'W2115298392', 'W2116249921', 'W2116764600', 'W2124712545', 'W2132490686', 'W2137422269', 'W2148206024', 'W2150934026', 'W2151885529', 'W2152817972', 'W2158089391', 'W2166609052', 'W2169324918', 'W2292273527', 'W2332948078', 'W2336133136', 'W2400155502', 'W2475028135', 'W2507718676', 'W2517380901', 'W2599038523', 'W2605469769', 'W2616343103', 'W2747995740', 'W2765108357', 'W2766577599', 'W2787177558', 'W2796475975', 'W2805675505', 'W2898541764', 'W2935539797', 'W2936867781', 'W2948053235', 'W2948657684', 'W2951577229', 'W2953534538', 'W2970756712', 'W2975170802', 'W2990946693', 'W2995012278', 'W2996570144', 'W3004824376', 'W3004888206', 'W3010461335', 'W3023272884', 'W3033764842', 'W3111358404', 'W3116898491', 'W3162666354', 'W3163641486', 'W3164010133', 'W3176706054', 'W3180783971', 'W3190609919', 'W3191397981', 'W3216350529', 'W3217760492', 'W4200627465', 'W4248820239', 'W4280555112', 'W4283155864', 'W4283258246', 'W4296793800', 'W4309246277', 'W4311710727', 'W4386253251']",133,0,,,,,[],[],[],['Team Kaplitt'],['Michael Kaplitt'],2024-07-23
385,2805,2805.0,Gut-Initiated Alpha Synuclein Fibrils Drive Parkinson’s Disease Phenotypes: Temporal Mapping of non-Motor Symptoms and REM Sleep Behavior Disorder,Kaplitt,10.1101/2024.04.22.590542,,1.0,W4395660291,A5027250646,Michael G. Kaplitt,0000-0002-8979-2459,Lead-PI,Team Kaplitt,Michael Kaplitt,"['W1527671059', 'W1572679174', 'W1854508876', 'W1972038286', 'W1973921337', 'W1991604513', 'W1992290626', 'W1999385317', 'W2018627242', 'W2046189898', 'W2048779384', 'W2051572005', 'W2053919734', 'W2056516296', 'W2057364502', 'W2073449985', 'W2078955175', 'W2101345641', 'W2106108170', 'W2107632774', 'W2117798519', 'W2139700140', 'W2163239461', 'W2195120335', 'W2207696950', 'W2397544274', 'W2398509129', 'W2408110716', 'W2539556954', 'W2556547650', 'W2571740089', 'W2590833747', 'W2621775373', 'W2762194337', 'W2783610750', 'W2790568799', 'W2805466047', 'W2806614570', 'W2808284620', 'W2848307331', 'W2884263697', 'W2894546886', 'W2905158156', 'W2909581763', 'W2923500540', 'W2953534538', 'W2954056418', 'W2955413884', 'W2968583737', 'W2974564969', 'W2980317911', 'W2991344020', 'W2995538686', 'W2996909605', 'W3006261429', 'W3015479037', 'W3021367628', 'W3047577965', 'W3102231089', 'W3118160052', 'W3124164547', 'W3125356116', 'W3146164047', 'W3153424147', 'W3169465550', 'W3174664487', 'W3190609919', 'W3211015345', 'W4200415424', 'W4200506926', 'W4211044101', 'W4220985882', 'W4223479829', 'W4251358880', 'W4287831851', 'W4307343662', 'W4309218457', 'W4313557805', 'W4360947368', 'W4379467886', 'W4385791170', 'W4387928799', 'W4389992959', 'W4403209086']",84,3,,,,,"['Team Sulzer', 'Team Schapira', 'Team Gradinaru']","['W3118160052', 'W4387928799', 'W4389992959']","['Amy Amara', 'Anthony Schapira', 'Subhojit Roy']",['Team Kaplitt'],"['Michael Kaplitt', 'Valina Dawson', 'Ted Dawson', 'Per Svenningsson']",2024-04-27
386,2807,2807.0,Gut-Initiated Alpha Synuclein Fibrils Drive Parkinson’s Disease Phenotypes: Temporal Mapping of non-Motor Symptoms and REM Sleep Behavior Disorder,Kaplitt,10.1101/2024.04.22.590542,,1.0,W4395660291,A5025568267,Valina L. Dawson,0000-0002-2915-3970,Collaborating PI,Team Kaplitt,Valina Dawson,"['W1527671059', 'W1572679174', 'W1854508876', 'W1972038286', 'W1973921337', 'W1991604513', 'W1992290626', 'W1999385317', 'W2018627242', 'W2046189898', 'W2048779384', 'W2051572005', 'W2053919734', 'W2056516296', 'W2057364502', 'W2073449985', 'W2078955175', 'W2101345641', 'W2106108170', 'W2107632774', 'W2117798519', 'W2139700140', 'W2163239461', 'W2195120335', 'W2207696950', 'W2397544274', 'W2398509129', 'W2408110716', 'W2539556954', 'W2556547650', 'W2571740089', 'W2590833747', 'W2621775373', 'W2762194337', 'W2783610750', 'W2790568799', 'W2805466047', 'W2806614570', 'W2808284620', 'W2848307331', 'W2884263697', 'W2894546886', 'W2905158156', 'W2909581763', 'W2923500540', 'W2953534538', 'W2954056418', 'W2955413884', 'W2968583737', 'W2974564969', 'W2980317911', 'W2991344020', 'W2995538686', 'W2996909605', 'W3006261429', 'W3015479037', 'W3021367628', 'W3047577965', 'W3102231089', 'W3118160052', 'W3124164547', 'W3125356116', 'W3146164047', 'W3153424147', 'W3169465550', 'W3174664487', 'W3190609919', 'W3211015345', 'W4200415424', 'W4200506926', 'W4211044101', 'W4220985882', 'W4223479829', 'W4251358880', 'W4287831851', 'W4307343662', 'W4309218457', 'W4313557805', 'W4360947368', 'W4379467886', 'W4385791170', 'W4387928799', 'W4389992959', 'W4403209086']",84,3,,,,,"['Team Sulzer', 'Team Schapira', 'Team Gradinaru']","['W3118160052', 'W4387928799', 'W4389992959']","['Amy Amara', 'Anthony Schapira', 'Subhojit Roy']",['Team Kaplitt'],"['Michael Kaplitt', 'Valina Dawson', 'Ted Dawson', 'Per Svenningsson']",2024-04-27
