Title,team,doi_pre,doi_pub,date_added_preprint,date_added_publication,source_preprint,source_publication,original,notes,Preprint in SF tracker,publication in SF tracker,apc_amount,apc_status,OpenAlex_ID
"Rapid iPSC inclusionopathy models shed light on formation, consequence and molecular subtype of α-synuclein inclusions",Studer,10.1101/2022.11.08.515615,10.1016/j.neuron.2024.06.002,before_doi_tracker,2024-07-30 00:00:00,before_doi_tracker,linkedin,1,,1.0,1,8900.0,Paid,W4401078278
Excessive firing of dyskinesia-associated striatal direct pathway neurons is gated by dopamine and excitatory synaptic input,Awatramani,10.1101/2022.10.31.514594,10.1016/j.celrep.2024.114483,2024-08-08 00:00:00,2024-08-05 00:00:00,from publication,hub,1,,1.0,1,,,W4400735534
Loss of primary cilia and dopaminergic neuroprotection in pathogenic LRRK2-driven and idiopathic Parkinsons disease | bioRxiv,Alessi,10.1101/2024.01.15.575737,10.1073/pnas.2402206121,before_doi_tracker,2024-08-08 00:00:00,before_doi_tracker,hub,1,,1.0,1,5300.0,Paid,W4401213995
Nova-ST: Nano-Patterned Ultra-Dense platform for spatial transcriptomics,Voet,10.1101/2024.02.22.581576,10.1016/j.crmeth.2024.100831,2024-02-26 00:00:00,2024-08-08 00:00:00,comms_team_submission,hub,1,,1.0,1,,,W4401364144
Detecting rhythmic spiking through the power spectra of point process model residuals,Strick,10.1101/2023.09.08.556120,10.1088/1741-2552/ad6188,before_doi_tracker,2024-08-08 00:00:00,before_doi_tracker,works,1,,1.0,1,,,W4400482301
Kufor-Rakeb Syndrome-Associated Psychosis: A Novel Loss-of-Function ATP13A2 Variant and Response to Treatment | medRxiv,Vangheluwe,10.1101/2024.01.12.23300401,10.1007/s10048-024-00767-7,before_doi_tracker,2024-08-08 00:00:00,before_doi_tracker,works,1,,1.0,1,4465.0,Paid,W4400785253
Adult-Onset Deletion of ATP13A2 in Mice Induces Progressive Nigrostriatal Pathway Dopaminergic Degeneration and Lysosomal Abnormalities,Lee,10.1101/2024.01.25.577280,10.1038/s41531-024-00748-5,2024-05-04 00:00:00,2024-08-08 00:00:00,hub,works,1,,1.0,1,,,W4400859109
Dysfunction of Motor Cortices in Parkinson’s disease,"Strick, Wichmann",NA_Review,10.1093/cercor/bhae294,NA_Review,2024-08-16 00:00:00,NA_Review,catalog ,0,,,1,4798.0,Paid,W4401103245
Vibrational Stabilization of Complex Network Systems,Biederer,10.48550/arXiv.2308.05823,10.23919/acc55779.2023.10156032,2024-08-20 00:00:00,2024-08-20 00:00:00,hub,hub,1,"The 'publication' is a conference proceeding. This is a computations / theory article, and thus, a conference proceeding may be the final venue for sharing the manuscript.",1.0,1,,,W4382936236
Phosphoglycerate kinase is a central leverage point in Parkinson’s Disease driven neuronal metabolic deficits | bioRxiv,De Camilli,10.1101/2023.10.10.561760,10.1126/sciadv.adn6016,before_doi_tracker,2024-08-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,4500.0,Paid,W4401724314
Movement-related increases in subthalamic activity optimize locomotion,Awatramani,10.1101/2023.12.07.570617,10.1016/j.celrep.2024.114495,before_doi_tracker,2024-08-27 00:00:00,before_doi_tracker,hub,1,,1.0,1,,,W4401057336
Integrated single cell and unsupervised spatial transcriptomic analysis defines molecular anatomy of the human dorsolateral prefrontal cortex,Wood,10.1101/2023.02.15.528722,10.1126/science.adh1938,2024-04-19 00:00:00,2024-09-01 00:00:00,pub_tracker,hub,1,"This article was already in publication tracker under the Wood tab, but it didn't make it to the DOIs tab",1.0,1,,,W4398250232
Lysosomal TBK1 Responds to Amino Acid Availability to Relieve Rab7-Dependent mTORC1 Inhibition | bioRxiv,De Camilli,10.1101/2023.12.16.571979,10.1038/s44318-024-00180-8,before_doi_tracker,2024-09-01 00:00:00,before_doi_tracker,works,1,,1.0,1,7327.52,Paid,W4401332739
Vibrational Stabilization of Cluster Synchronization in Oscillator Networks,Biederer,10.48550/arXiv.2308.07302,10.1109/ojcsys.2023.3331195,before_doi_tracker,2024-09-01 00:00:00,before_doi_tracker,works,1,,1.0,1,,,W4388505368
Cognitive dysfunction in animal models of human lewy-body dementia,Kaplitt,,10.3389/fnagi.2024.1369733,NA_review,2024-09-05 00:00:00,NA_review,other(apc_request),0,,,1,3295.0,Paid,W4400896439
SynBot: An open-source image analysis software for automated quantification of synapses,Calakos,10.1101/2023.06.26.546578,10.1016/j.crmeth.2024.100861,2024-04-22 00:00:00,2024-09-20 00:00:00,comp,hub,1,,1.0,1,5200.0,Paid,W4402357127
Cortico-amygdala synaptic structural abnormalities produced by templated aggregation of α-synuclein,Biederer,10.1101/2024.05.15.594419,10.1016/j.nbd.2024.106595,2024-07-17 00:00:00,2024-09-25 00:00:00,comp,comms_team_submission,1,,1.0,1,,,W4400387995
NeuroBooster Array: A Genome-Wide Genotyping Platform to Study Neurological Disorders Across Diverse Populations | medRxiv,GP2,10.1101/2023.11.06.23298176,10.1002/mds.29902,before_doi_tracker,2024-10-25 00:00:00,before_doi_tracker,lens/works,1,,1.0,1,4270.0,Paid,W4402582165
"Neuronal alpha-Synuclein Disease Integrated Staging System performance in PPMI, PASADENA, and SPARK baseline cohorts",PPMI,10.1101/2024.02.14.24302818,10.1038/s41531-024-00789-w,2024-09-20 00:00:00,2024-10-25 00:00:00,capture,biorxiv_linked,1,,1.0,1,,,W4402926622
Understanding monogenic Parkinson’s disease at a global scale,GP2,10.1101/2024.03.12.24304154,10.1002/mds.29925,2024-04-29 00:00:00,2024-10-25 00:00:00,comp,biorxiv_linked,1,this might not be considered 'original research'. It mostly looks like an outline of a dataset,1.0,1,,,W4401134258
Functional efficacy of the MAO-B inhibitor safinamide in murine substantia nigra pars compacta dopaminergic neurons in vitro: a comparative study with tranylcypromine,Vila,10.1101/2024.05.28.596142,10.1016/j.parkreldis.2024.107158,2024-06-11 00:00:00,2024-10-25 00:00:00,comp,comp,1,,1.0,1,3340.0,Paid,W4402700542
Impaired Functional Connectivity of Cortico-Amygdala Pathway Can Drive Social Behavior Deficits in Synucleinopathies,Wichmann,10.1101/2024.05.20.594995,10.1016/j.nbd.2024.106702,2024-06-11 00:00:00,2024-10-25 00:00:00,comp,comp,1,"The title changed. The publication is called: ""α-Synuclein aggregation decreases cortico-amygdala connectivity and impairs social behavior in mice""",1.0,1,3570.0,Paid,W4403366660
Investigating the protective role of the mitochondrial 2158 T > C variant in Parkinson’s disease,GP2,does_not_exist,10.1002/mds.29892,,2024-10-31 00:00:00,,GP2 PDWG,1,,,1,,,W4400121695
Modelling human brain-wide pigmentation in rodents recapitulates age-related multisystem neurodegenerative deficits,Vila,10.1101/2023.08.08.552400,10.1038/s41467-024-53168-7,before_doi_tracker,2024-11-05 00:00:00,before_doi_tracker,other (apc request),1,,1.0,,6790.0,Paid,W4403327069
Single-cell somatic copy number variants in brain using different amplification methods and reference genomes | bioRxiv,Voet,10.1101/2023.08.07.552289,10.1038/s42003-024-06940-w,before_doi_tracker,2024-11-13 00:00:00,before_doi_tracker,biorxiv,1,,1.0,1,3965.0,Paid,W4403242132
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease | bioRxiv,Surmeier,10.1101/2023.12.11.571045,10.1186/s13024-024-00756-2,before_doi_tracker,2024-11-13 00:00:00,before_doi_tracker,comp,1,,1.0,1,,,W4403209086
Parkinson’s Families Project: a UK-wide study of early onset and familial Parkinson’s disease,GP2,10.1101/2023.12.05.23299397,10.1038/s41531-024-00778-z,2024-09-20 00:00:00,2024-11-13 00:00:00,capture; comp; hub,biorxiv,1,,1.0,1,,,W4403481819
α-Synuclein Overexpression and the Microbiome Shape the Gut and Brain Metabolome in Mice,Gradinaru/Sulzer,10.1101/2024.06.07.597975,10.1038/s41531-024-00816-w,2024-06-10 00:00:00,2024-11-13 00:00:00,comms_team_submission,hub,1,,1.0,1,3665.0,Paid,W4403891967
Proportion and distribution of neurotransmitter-defined cell types in the ventral tegmental area and substantia nigra pars compacta,Awatramani,10.1101/2024.02.28.582356,10.1016/j.addicn.2024.100183,2024-03-11 00:00:00,2024-11-13 00:00:00,hub,hub,1,,1.0,1,,,W4403837262
POLCAM: Instant molecular orientation microscopy for the life sciences,Wood,10.1101/2023.02.07.527479,10.1038/s41592-024-02382-8,2024-04-15 00:00:00,2024-11-13 00:00:00,pub_tracker,biorxv,1,"This article was already in publication tracker under the Wood tab, but it didn't make it to the DOIs tab",1.0,1,,,W4403195592
Depletion of ATP13A2 in adult brain induces a Parkinsonian phenotype in mice and non-human primates,Vangheluwe,NA_review,10.1038/s41531-024-00814-y,,2024-11-13 00:00:00,,works,0,,,1,,,W4403700477
Multi-modality machine learning predicting Parkinson’s disease,GP2,10.1101/2021.03.05.434104,10.1038/s41531-022-00288-w,2024-11-13 00:00:00,2024-11-13 00:00:00,comp,comp,1,,1.0,1,,,W4226263121
Regulation of mitophagy by the NSL complex underlies genetic risk for Parkinson’s disease at Chr16q11.2 and on the MAPT H1 allele,Hardy,10.1101/2020.01.06.896241,10.1093/brain/awac325,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4295078575
"R1441C and G2019S LRRK2 knockin mice have distinct striatal molecular, physiological, and behavioral alterations",Awatramani,10.1101/2020.03.11.986455,10.1038/s42003-022-04136-8,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4309076165
Inhibition of striatal dopamine release by the L-type calcium channel inhibitor isradipine co-varies with risk factors for Parkinson’s,Cragg,10.1101/2020.07.03.186411,10.1111/ejn.16180,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4388535022
In situ architecture of neuronal α-Synuclein inclusions,Harper,10.1101/2020.08.07.234138,10.1038/s41467-021-22108-0,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3156701803
VPS13D bridges the ER to mitochondria and peroxisomes via Miro,De Camilli,10.1101/2020.10.07.328906,10.1083/jcb.202010004,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3156441532
The Hsc70 disaggregation machinery removes monomer units directly from α-synuclein fibril ends,Harper,10.1101/2020.11.02.365825,10.1038/s41467-021-25966-w,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3206809879
Sphingolipid changes in Parkinson L444P GBA mutation fibroblasts promote α-synuclein aggregation,Schapira,10.1101/2020.11.09.375048,10.1093/brain/awab371,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4205299346
A Markov random field model-based approach for differentially expressed gene detection from single-cell RNA-seq data,Hafler,10.1101/2020.11.11.378976,10.1093/bib/bbac166,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,it looks like this paper was published twice. Also at 10.1186/s12859-021-04412-0,1.0,1,,,W4226113200
powerEQTL: An R package and shiny application for sample size and power calculation of bulk tissue and single-cell eQTL analysis,Scherzer,10.1101/2020.12.15.422954,10.1093/bioinformatics/btab385,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3162394046
Presynaptic autophagy is coupled to the synaptic vesicle cycle via ATG-9,De Camilli,10.1101/2020.12.28.424508,10.1016/j.neuron.2021.12.031,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4220988819
Reconstitution of cargo-induced LC3 lipidation in mammalian selective autophagy,Hurley,10.1101/2021.01.08.425958,10.1126/sciadv.abg4922,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3153643350
Integrating protein networks and machine learning for disease stratification in the Hereditary Spastic Paraplegias,Hardy,10.1101/2021.01.14.425874,10.1016/j.isci.2021.102484,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3157413169
Structural basis for the specificity of PPM1H phosphatase for Rab GTPases,Alessi,10.1101/2021.02.17.431620,10.15252/embr.202152675,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3204672542
Pathogenic LRRK2 control of primary cilia and Hedgehog signaling in neurons and astrocytes of mouse brain,Alessi,10.1101/2021.03.02.433576,10.7554/eLife.67900,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3205174301
Global ubiquitylation analysis of mitochondria in primary neurons identifies endogenous Parkin targets following activation of PINK1,Alessi,10.1101/2021.04.01.438131,10.1126/sciadv.abj0722,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3213349298
ALS and FTD-associated missense mutations in TBK1 differentially disrupt mitophagy,Hurley,10.1101/2021.04.12.439050,10.1073/pnas.2025053118,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3156864965
Structural Basis for Membrane Recruitment of ATG16L1 by WIPI2 in Autophagy,Hurley,10.1101/2021.05.14.444175,10.7554/eLife.70372,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3196608509
Transcriptional analysis of peripheral memory T cells reveals Parkinson’s disease-specific gene signatures,Sulzer,10.1101/2021.05.28.446215,10.1038/s41531-022-00282-2,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4221115508
Subcellular proteomics of dopamine neurons in the mouse brain reveals axonal enrichment of proteins encoded by Parkinson’s disease-linked genes,Sulzer,10.1101/2021.06.01.446584,10.7554/eLife.70921,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4220677882
Hydrop enables droplet-based single-cell ATAC-seq and single-cell RNA-seq using dissolvable hydrogel beads,Voet,10.1101/2021.06.04.447104,10.7554/eLife.73971,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4212780233
ER-lysosome lipid transfer protein VPS13C/PARK23 prevents aberrant mtDNA-dependent STING signaling,De Camilli,10.1101/2021.06.08.447593,10.1083/jcb.202106046,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4281946664
Chemically induced senescence in human stem cell‐derived neurons promotes phenotypic presentation of neurodegeneration,Scherzer,10.1101/2021.07.11.451956,10.1111/acel.13541,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4200380426
The extracellular chaperone Clusterin enhances Tau aggregate seeding in a cellular model,Harper,10.1101/2021.07.16.452659,10.1038/s41467-021-25060-1,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3187288550
Quantitative proteomics reveals the selectivity of ubiquitin-binding autophagy receptors in the turnover of damaged lysosomes by lysophagy,Harper,10.1101/2021.07.19.452535,10.7554/eLife.72328,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W3202373309
Subcellular and regional localization of mRNA translation in midbrain dopamine neurons,Sulzer,10.1101/2021.07.30.454065,10.1016/j.celrep.2021.110208,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4226101007
Synaptotagmin-1-dependent phasic axonal dopamine release is dispensable for basic motor behaviors in mice,Desjardins,10.1101/2021.09.15.460511,10.1038/s41467-023-39805-7,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4383888069
LRRK2 kinase activity regulates GCase level and enzymatic activity differently depending on cell type in Parkinson’s disease,Schapira,10.1101/2021.09.27.461935,10.1038/s41531-022-00354-3,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4285797163
Deficiency of the frontotemporal dementia gene GRN results in gangliosidosis,Harper,10.1101/2021.09.30.461806,10.1038/s41467-022-33500-9,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4303446525
"Constitutive nuclear accumulation of endogenous alpha-synuclein in mice causes motor impairment and cortical dysfunction, independent of protein aggregation",Schlossmacher,10.1101/2021.10.13.464123,10.1093/hmg/ddac035,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4213320742
Motor learning selectively strengthens cortical and striatal synapses of motor engram neurons,Surmeier,10.1101/2021.10.28.466357,10.1016/j.neuron.2022.06.006,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4284973744
Combining biomarkers for prognostic modelling of Parkinson’s disease,Hardy,10.1101/2021.11.01.21265751,10.1136/jnnp-2021-328365,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4280560966
SHIP164 is a chorein motif lipid transfer protein that controls endosome–Golgi membrane traffic,De Camilli,10.1101/2021.11.04.467353,10.1083/jcb.202111018,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4225282945
Therapeutic deep brain stimulation disrupts movement-related subthalamic nucleus activity in parkinsonian mice,Edwards,10.1101/2021.11.12.468404,10.7554/eLife.75253,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4283795759
Adeno-associated viral vectors for functional intravenous gene transfer throughout the non-human primate brain,Gradinaru,10.1101/2022.01.08.475342,10.1038/s41565-023-01419-x,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4383868431
Structural basis for Parkinson’s Disease-linked LRRK2’s binding to microtubules,Reck-Peterson,10.1101/2022.01.21.477284,10.1038/s41594-022-00863-y,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4311901922
Unconventional secretion of α-synuclein mediated by palmitoylated DNAJC5 oligomers,Cragg,10.1101/2022.01.27.477991,10.7554/eLife.85837,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4313988037
Mono- and Intralink Filter (Mi-Filter) To Reduce False Identifications in Cross-Linking Mass Spectrometry Data | Analytical Chemistry (acs.org),Reck-Peterson,10.1101/2022.02.03.478943,10.1021/acs.analchem.2c00494,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4311220075
Interaction of an α-synuclein epitope with HLA-DRB1*15:01 initiates early enteric features of Parkinson’s disease in humanized mice,Sulzer,10.1101/2022.02.03.479014,10.1016/j.neuron.2023.07.015,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4385989451
Large-scale biophysically detailed model of somatosensory thalamocortical circuits in NetPyNE,Wichmann,10.1101/2022.02.03.479029,10.3389/fninf.2022.884245,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4296672472
"Multiscale model of primary motor cortex circuits predicts in vivo cell type-specific, behavioral state-dependent dynamics",Wichmann,10.1101/2022.02.03.479040,10.1016/j.celrep.2023.112574,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4380077829
Dopamine transporter and synaptic vesicle sorting defects underlie auxilin-associated Parkinson’s disease,Hafler,10.1101/2022.02.04.479203,10.1016/j.celrep.2023.112231,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4324145225
Highly efficient generation of isogenic pluripotent stem cell models using prime editing,Rio,10.1101/2022.02.15.480601,10.7554/eLife.79208,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4294904866
The AAA+ chaperone VCP disaggregates Tau fibrils and generates aggregate seeds in a cellular system,Harper,10.1101/2022.02.18.481043,10.1038/s41467-023-36058-2,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4319017939
Synaptic location is a determinant of the detrimental effects of α-synuclein pathology to glutamatergic transmission in the basolateral amygdala,Wichmann,10.1101/2022.02.20.481207,10.7554/eLife.78055,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4283741897
Mutations in Parkinsonism-linked endocytic proteins synaptojanin1 and auxilin have synergistic effects on dopaminergic axonal pathology,De Camilli,10.1101/2022.02.28.482419,10.1038/s41531-023-00465-5,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4321002449
In situ architecture of the lipid transport protein VPS13C at ER–lysosome membrane contacts,De Camilli,10.1101/2022.03.08.482579,10.1073/pnas.2203769119,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4285088070
Structural and biochemical insights into lipid transport by VPS13 proteins,De Camilli,10.1101/2022.03.11.484024,10.1083/jcb.202202030,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4221090868
ggtranscript: an R package for the visualization and interpretation of transcript isoforms using ggplot2,Hardy,10.1101/2022.03.28.486050,10.1093/bioinformatics/btac409,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4283511977
Spatial snapshots of amyloid precursor protein intramembrane processing via early endosome proteomics,Harper,10.1101/2022.03.31.486371,10.1038/s41467-022-33881-x,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4306353218
Impact of 100 LRRK2 variants linked to Parkinson's disease on kinase activity and microtubule binding,Alessi,10.1101/2022.04.01.486724,10.1042/BCJ20220161,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4290803974
Unaltered T cell responses to common antigens in individuals with Parkinson’s disease,Sulzer,10.1101/2022.04.05.487195,10.1016/j.jns.2022.120510,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4309938596
A feed-forward pathway drives LRRK2 kinase membrane recruitment and activation,Alessi,10.1101/2022.04.25.489459,10.7554/eLife.79771,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4296793671
Rab29-dependent asymmetrical activation of leucine-rich repeat kinase 2,Alessi,10.1101/2022.04.26.489605,10.1126/science.adi9926,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4390046099
In situ structural analysis reveals membrane shape transitions during autophagosome formation,Harper,10.1101/2022.05.02.490291,10.1073/pnas.2209823119,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4296297488
Membrane curvature sensing and stabilization by the autophagic LC3 lipidation machinery,Hurley,10.1101/2022.05.03.490522,10.1126/sciadv.add1436,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4311441084
Association between the LRP1B and APOE loci and the development of Parkinson’s disease dementia,Hardy,10.1101/2022.05.23.22275465,10.1093/brain/awac414,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4308571577
Basal ganglia neurons in healthy and parkinsonian primates generate recurring sequences of spikes,Wichmann,10.1101/2022.05.25.493476,10.1152/jn.00265.2022,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4362602509
Local genetic correlations exist among neurodegenerative and neuropsychiatric diseases,Hardy,10.1101/2022.05.30.22275781,10.1038/s41531-023-00504-1,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4367316359
The GBA variant E326K is associated with alpha-synuclein aggregation and lipid droplet accumulation in human cell lines,Schapira,10.1101/2022.06.01.494130,10.1093/hmg/ddac233,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4296974338
Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanisms,Liddle,10.1101/2022.06.08.495316,10.1038/s41467-022-34667-x,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4309109636
"PKC isoforms activate LRRK1 kinase by phosphorylating conserved residues (Ser1064, Ser1074 and Thr1075) within the CORB GTPase domain",Alessi,10.1101/2022.06.09.495448,10.1042/BCJ20220308,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4293567400
Damaged mitochondria recruit the effector NEMO to activate NF-κB signaling: Molecular Cell,Hurley,10.1101/2022.06.21.496850,10.1016/j.molcel.2023.08.005,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4386496532
A prebiotic diet modulates microglial states and motor deficits in α-synuclein overexpressing mice,Sulzer,10.1101/2022.06.27.497828,10.7554/eLife.81453,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4308633748
DOPA pheomelanin is increased in nigral neuromelanin of Parkinson’s disease,Chen,10.1101/2022.06.30.22277063,10.1016/j.pneurobio.2023.102414,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,Correigendum published to share more outputs: https://doi.org/10.1016/j.pneurobio.2023.102463,1.0,1,,,W4319071820
Mitoguardin-2–mediated lipid transfer preserves mitochondrial morphology and lipid droplet formation,De Camilli,10.1101/2022.07.08.499339,10.1083/jcb.202207022,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4307585140
Structural basis for ATG9A recruitment to the ULK1 complex in mitophagy initiation,Hurley,10.1101/2022.07.12.499634,10.1126/sciadv.adg2997,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4320896717
Integrated Multi-Cohort Analysis of the Parkinson's Disease Gut Metagenome,Gradinaru,10.1101/2022.07.20.500694,10.1002/mds.29300,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4317830385
Nicotine-Mediated Rescue of α-Synuclein Toxicity Requires Synaptic Vesicle Glycoprotein 2 in Drosophila,Scherzer,10.1101/2022.07.26.501592,10.1002/mds.29283,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4309748707
In vivo reduction of age-dependent neuromelanin accumulation mitigates features of Parkinson's disease,Vila,10.1101/2022.08.08.503142,10.1093/brain/awac445,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4318592048
Membrane remodeling properties of the Parkinson’s disease protein LRRK2 | PNAS,De Camilli,10.1101/2022.08.10.503505,10.1073/pnas.2309698120,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4387665107
Unconventional Initiation of PINK1/Parkin Mitophagy by Optineurin,Hurley,10.1101/2022.08.14.503930,10.1016/j.molcel.2023.04.021,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4377047698
Disruption of lysosomal proteolysis in astrocytes facilitates midbrain organoid proteostasis failure in an early-onset Parkinson’s disease model | Nature Communications,Vangheluwe,10.1101/2022.08.26.505472,10.1038/s41467-024-44732-2,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,6790.0,Paid,W4390691315
Dynamic behaviour restructuring mediates dopamine-dependent credit assignment | Nature,Surmeier,10.1101/2022.09.22.507905,10.1038/s41586-023-06941-5,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4389671970
Border-associated macrophages mediate the neuroinflammatory response in an alpha-synuclein model of Parkinson disease,Sulzer,10.1101/2022.10.12.511960,10.1038/s41467-023-39060-w,before_doi_tracker,before_doi_tracker,before_doi_tracker,before_doi_tracker,1,,1.0,1,,,W4382059965
